Ciudad_Mapa,Nombre_despacho,Link_Despacho
"Antioquia, Capital: Medellín",JUZGADO 001 LABORAL DEL CIRCUITO DE APARTADÓ - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-apartado
"Antioquia, Capital: Medellín",JUZGADO 001 LABORAL DEL CIRCUITO DE PUERTO BERRÍO - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-puerto-berrio
"Antioquia, Capital: Medellín",JUZGADO 002 LABORAL DEL CIRCUITO DE APARTADÓ - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-del-circuito-de-apartado
"Antioquia, Capital: Medellín",JUZGADO 002 LABORAL DEL CIRCUITO DE TURBO - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-del-circuito-de-turbo-antioquia
Medellín,JUZGADO 001 LABORAL DEL CIRCUITO DE BELLO - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-bello
Medellín,JUZGADO 001 LABORAL DEL CIRCUITO DE ENVIGADO - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-envigado
Medellín,JUZGADO 001 LABORAL DEL CIRCUITO DE ITAGÜÍ - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-itagui
Medellín,JUZGADO 001 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-medellin
Medellín,JUZGADO 002 LABORAL DE BELLO,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-de-bello-
Medellín,JUZGADO 002 LABORAL DEL CIRCUITO DE ENVIGADO - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-del-circuito-de-envigado-antioquia
Medellín,JUZGADO 002 LABORAL DEL CIRCUITO DE ITAGÜÍ - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-del-circuito-de-itagui
Medellín,JUZGADO 002 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-de-medellin
Medellín,JUZGADO 003 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-003-laboral-de-medellin
Medellín,JUZGADO 004 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-004-laboral-de-medellin
Medellín,JUZGADO 005 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-005-laboral-de-medellin
Medellín,JUZGADO 006 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-006-laboral-de-medellin
Medellín,JUZGADO 007 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-07-laboral-del-circuito-de-medellin
Medellín,JUZGADO 008 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-08-laboral-del-circuito-de-medellin
Medellín,JUZGADO 009 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-009-laboral-de-medellin
Medellín,JUZGADO 010 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-10-laboral-del-circuito-de-medellin
Medellín,JUZGADO 011 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-011-laboral-de-medellin
Medellín,JUZGADO 012 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-12-laboral-del-circuito-de-medellin
Medellín,JUZGADO 013 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-13-laboral-del-circuito-de-medellin
Medellín,JUZGADO 014 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-014-laboral-de-medellin
Medellín,JUZGADO 015 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-15-laboral-del-circuito-de-medellin
Medellín,JUZGADO 016 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-016-laboral-de-medellin
Medellín,JUZGADO 017 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-17-laboral-del-circuito-de-medellin
Medellín,JUZGADO 018 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-18-laboral-del-circuito-de-medellin
Medellín,JUZGADO 019 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-019-laboral-de-medellin
Medellín,JUZGADO 020 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-20-laboral-del-circuito-de-medellin
Medellín,JUZGADO 021 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-021-laboral-de-medellin
Medellín,JUZGADO 022 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-022-laboral-de-medellin
Medellín,JUZGADO 023 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-023-laboral-de-medellin
Medellín,JUZGADO 024 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-024-laboral-de-medellin-
Medellín,JUZGADO 025 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-025-laboral-del-circuito-de-medellin
Medellín,JUZGADO 026 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-026-laboral-de-medellin
Medellín,JUZGADO 027 LABORAL DEL CIRCUITO DE MEDELLÍN - ANTIOQUIA,https://www.ramajudicial.gov.co/web/juzgado-027-laboral-del-circuito-de-medellin-antioquia
"Arauca, Capital: Arauca",JUZGADO 001 LABORAL DEL CIRCUITO DE ARAUCA - ARAUCA,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-arauca
Archipiélago de San Andrés,JUZGADO 001 LABORAL DEL CIRCUITO DE ARCH. DE SAN ANDRÉS - SAN ANDRÉS,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-arch-de-san-andres
"Atlántico, Capital: Barranquilla",JUZGADO 001 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 001 LABORAL DEL CIRCUITO DE SABANALARGA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-sabanalarga
"Atlántico, Capital: Barranquilla",JUZGADO 001 LABORAL DEL CIRCUITO DE SOLEDAD,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-del-circuito-de-soledad
"Atlántico, Capital: Barranquilla",JUZGADO 002 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-002-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 003 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-003-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 004 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-004-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 005 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-005-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 006 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-006-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 007 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-007-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 008 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-008-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 009 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-009-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 010 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-010-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 011 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-011-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 012 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-012-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 013 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-013-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 014 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-014-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 015 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-015-laboral-de-barranquilla
"Atlántico, Capital: Barranquilla",JUZGADO 016 LABORAL DEL CIRCUITO DE BARRANQUILLA - ATLÁNTICO,https://www.ramajudicial.gov.co/web/juzgado-016-laboral-del-circuito-de-barranquilla
Bogotá,JUZGADO 001 LABORAL DEL CIRCUITO DE BOGOTÁ - BOGOTÁ,https://www.ramajudicial.gov.co/web/juzgado-001-laboral-de-bogota
